Location ID,Custom Label,Location Name,Latitude/Longitude,Owned by Current Organization,Owned By,Shared With,Devices,Other Devices,Licenses,Alert Status,Alerts,Created In
"bd9329ef-5a5d-49c0-b26b-2ecbf1c65c0d",,"CR 100A and Marion Avenue","{""lng"":-82.63732833,""lat"":30.20342085}",true,"Ingram Signalization Inc.","","CORE;CORE_DCM;SMARTVIEW_360",1,"DETECTION;INTERSECTION_MONITORING","GOOD","","TrafficLink"
"fa2bd016-f936-4588-8e39-6fa5a12f8f1b",,"CR 18 and US 301","{""lng"":-82.15335605,""lat"":29.86419131}",true,"Ingram Signalization Inc.","","SMARTVIEW_360",1,"DETECTION;INTERSECTION_MONITORING","GOOD","","TrafficLink"
"9115d013-e870-4082-aba6-9a0afcc6d19c",,"CR 227 and US 301","{""lng"":-82.13664734,""lat"":29.90041339}",true,"Ingram Signalization Inc.","","SMARTVIEW_360",1,"DETECTION;INTERSECTION_MONITORING","GOOD","","TrafficLink"
"fe876382-f0c9-422e-b170-04aefb8dfa25",,"CR 30 and 12th Street","{""lng"":-84.99058665,""lat"":29.72190694}",true,"Ingram Signalization Inc.","","SMARTLINK",1,"DETECTION;INTERSECTION_MONITORING","CRITICAL","PERIPHERAL_UNAVAILABLE;TELEMETRY_UNAVAILABLE;FLASHING","TrafficLink"
"8e6de12e-e974-4b29-b436-20c09d8c5f21",,"Crawfordville Highway and Bloxham Cutoff Road","{""lng"":-84.36233714,""lat"":30.26342513}",true,"Ingram Signalization Inc.","","CORE;CORE_DCM",1,"DETECTION;INTERSECTION_MONITORING","GOOD","","TrafficLink"
"e45e14a7-e6be-43dd-83f9-8eb4d9bba2a4",,"East North Avenue and SR 79","{""lng"":-85.67892,""lat"":30.80256034}",true,"Ingram Signalization Inc.","","SMARTLINK",1,"DETECTION;INTERSECTION_MONITORING","GOOD","","TrafficLink"
"e0c1c53a-76ed-40a4-905e-ffd5eebec1ef",,"East Pennsylvania Avenue and SR 79","{""lng"":-85.67956182,""lat"":30.7920547}",true,"Ingram Signalization Inc.","","SMARTLINK",1,"DETECTION;INTERSECTION_MONITORING","GOOD","","TrafficLink"
"2b317d17-f254-49e3-9276-720c4eba8ce5",,"Farren Ranch Road and US 231","{""lng"":-85.38687,""lat"":30.733608}",true,"Ingram Signalization Inc.","","SMARTLINK",1,"DETECTION;INTERSECTION_MONITORING","CRITICAL","POWER_OFF","TrafficLink"
"8ccdaec0-cd93-4e56-a19f-50cf5235ec3c",,"Garden St and D St/Barrancas Ave","{""lng"":-87.22948421,""lat"":30.41132689}",true,"Ingram Signalization Inc.","","CORE;CORE_DCM;SMARTVIEW_360",1,"DETECTION;INTERSECTION_MONITORING","GOOD","","TrafficLink"
"3e91bb30-d19e-4a0b-8b31-11eb9f16f156",,"George Boulevard and Bear Road","{""lng"":-81.42241,""lat"":27.443314}",true,"Ingram Signalization Inc.","","",0,"DETECTION;INTERSECTION_MONITORING","GOOD","","TrafficLink"
